well,manufacture,run,trl,pulling_date,failure_mode,category,failure_item,failure_item_specific,general_failure_descriptor,detailed_failure_descriptor,general_failure_cause,specific_failure_cause,recommendation,area,package,runlife_code,data_reference,difa_meeting_with_vendor,failure_component_pump,failure_component_motor,failure_component_protector,reservoir_fluids,note,failure_component_mle,failure_component_main_cable,failure_component_gas_separator_or_intake,installation_date,difa_date,dhp_date
WJ-C13,Powerlift,13.0,652.0,2006-04-22 00:00:00,EDHP,DIFA Internal,MLE,Armor,Material Failure,Eroded,Reservoir Related,Reservoir Fluids,Possible Root Cause: Sand produced from the reservoir --> separator housing severely erroded --> separator housing leaked --> fluid jetting from the separator to the flat cable --> flat cable broken at the separator housing hole --> MLE insulation damaged --> EDHP Recommendation: 1. Apply sand control 2. Apply wellbore cleanout,NBU,,RED,DIFA,,,,,,"DIFA Finding: 1. Pump ST: shaft rotation rough, shaft discolored, all bushing/sleeve uniform worn, housing scarred axially, UT and DT washer moderate wear, impellers modern thrust wear, sand was found 2. Intake: shaft rotation free, head-housing-base erroded, head and bottom radial bearings uniform wear, inducer erroded, separator section/rotor erroded 3. Prot UT: shaft rotation free, top bag oil all clear, bottom bag oil all clear, thrust chamber oil clear-water Prot LT: shaft rotation free, top bag oil all clear, bottom bag oil all clear, thrust chamber oil clear-water 4. Motor ST: shaft rotation free, oil condition clear, P-P reading 2000 MOhm x3 good, P-G reading 0.4 x3 good 5. Sensor: overall in a good condition 6. Main cable: P-P reading result 1.52ohm x3 balanced, P-G reading result 260Mohm x3 balanced 7. MLE: P-P reading result 0.3ohm - infinity - infinity unbalanced, P-G reading result 4000Mohm x3 balanced, broken at separator housing hole position",,,,2006-03-28,2006-05-15,2006-04-11
WE-CA-34,Powerlift,335.0,618.0,2006-10-30 00:00:00,EDHP,DIFA Eksternal,Protector,Bag,Mechanical Failure,Punctured,Design Related,Improper Equipment Capacity,Possible root cause: ESP start stop + Mechanical seal between bags reduce the protector oil expansion capacity -> Bag excessive contraction during shut in -> Bag punctured -> Water ingressed to protector -> Water ingressed to motor -> Motor burned -> EDHP Recommendation: 1. Use protector without mechanical seal between the bags for big horsepower (>120 HP).,NBU,Old,ORANGE,DIFA,Not Yet,,,Bag,,"DIFA Finding: 1. Pump UT: Shaft rotation free, head/base erroded-corroded, housing corroded-scarred axially-blistered paint, top/bottom bushing/sleeve uniform worn, o-rings hard, impeller UT washer moderate wear, diffusers moderate wear-spinning, impellers erroded-moderate thrust wear-moderate radial wear. Pump LT: Shaft rotation free, head/base erroded-corroded, housing corroded-scarred axially-blistered paint, top/bottom bushing/sleeve uniform worn, o-rings hard, impeller UT washer moderate wear, diffusers erroded-moderate radial wear, impellers erroded-moderate thrust wear-moderate radial wear. 2. Intake: Shaft rotation free, head/base/intake holes erroded, intake screen corroded, housing corroded-holes in housing-blistered paint, shaft sleeve erroded. 3. Protector UT: Shaft rotation free, dark oil with water inside all chambers, housing corroded-blistered paint, downthrust bearing/runner moderate wear (discolored), top/bottom bag leaks-punctured, top/upper bag - lower bag mechanical seal leaks. Protector LT: Shaft rotation free, dark oil with water inside all chambers, housing corroded-blistered paint-flat cable rub mark, downthrust bearing/runner moderate wear (discolored), top/bottom bag leaks-punctured, top/upper bag - lower bag mechanical seal leaks. 4. Motor: Shaft rotation free, P-G= 0/OL/OL Mohm (failed), P-P= OL/OL/119 ohm (Failed), dark oil with water inside, housing blistered paint-corroded-scarred axially, shaft scored-discolored, rotor bearing sleeve worn-discolored, leads burned. 5. Sensor: No DIFA data. 6. Cable: No DIFA data.",,,,2005-05-11,2006-11-09,2006-10-16
WF-13,Powerlift,415.0,649.0,2006-12-14 00:00:00,MDHP,DIFA Eksternal,Protector,Bag,Mechanical Failure,Leaking,Fabrication Related,Manufacturing Problem,Possible root cause: Improper bag fastener (clamp) installation in workshop --> fastener loose --> water ingress to protector bag --> water ingress to thrust chamber --> oil lubricity decrease --> thrust bearing overheated and seized due to high friction --> shaft hard to rotate --> protector shaft broken --> MDHP Recommendation: 1. Improve protector assembly in workshop 2. Ensure all protector parts tested properly,NBU,Old,YELLOW,DIFA,,,,,,"DIFA Finding: 1. 'Pump ST: Shaft rotation turns free, housing blistered paint, UT thrust washer moderate wear 2. Intake: Shaft rotation turns free 3. 'Protector ST: Shaft broken, top bag oil condition was dark water other than top bag oil condition was dark, housing blistered paint, downthrust bearing moderate wear, top and bottom bang brittle, top mechanical seal leak, lower bag- labyrinth mechanical seal leak 4. 'Motor UT: Shaft rotation turns free and shaft worn, stator P-P reading result 0,6 ohm x 3 (Good), stator P-G reading result 1000 Mohm x 3 (good), oil condition dark oil with dirt, head and base bushing worn, housing blistered paint, thrust bearing worn, rotor bearing sleeve worn Motor LT: Shaft rotation turns free and shaft worn, stator P-P reading result 0,5 ohm x 3 (Good), stator P-G reading result 1000 Mohm x 3 (good), oil condition dark water, head and base bushing worn, housing blistered paint, thrust bearing worn, rotor bearing sleeve worn 5. Sensor: No Sensor 6. Cable: No DIFA Data",,,,2005-10-13,2006-12-27,2006-12-02
WE-CA-34,Powerlift,160.0,618.0,2007-04-13 00:00:00,EDHP,DIFA Eksternal,Main Cable,Insulation,Electrical Failure,Burn,Fabrication Related,Manufacturing Problem,Possible Root Cause: Bad quality of cable insulation --> cable burnt after 160 days --> ESP DHP Recommendation: 1. Improve cable quality and QA/QC inspection and test,NBU,Old,ORANGE,DIFA,,,,,,"DIFA Finding: 1. 'Pump UT: Shaft rotation turns free, head and base eroded, o-ring hard, diffusers and impellers eroded Pump LT: Shaft rotation turns free, head and base eroded, o-ring hard, diffusers and impellers eroded 2. Intake: Shaft rotation turns free, radial bearing slight wear 3. 'Protector UT: Shaft rotation turns free, oil condition in top and bottom bag were dark water, oil condition in thrust chamber was dark oil, top and bottom bag teared, top mechanical seal leak, upper bag - lower bag mechanical seal leak Protector LT: Shaft rotation turns free, oil condition in all section were clear oil 4. 'Motor UT: Shaft rotation turns free, stator P-P reading result 0,36 ohm x 3 (good), stator P-G reading result 2000 Mohm x 3 (good), oil condition clear oil, rotor bearing sleeve worn, pothead o-ring swollen Motor LT: Shaft rotation turns free, stator P-P reading result 0,36 ohm x 3 (good), stator P-G reading result 2000 Mohm x 3 (good), oil condition clear oil, rotor bearing sleeve worn, pothead o-ring swollen 5. Sensor: No DIFA Data 6. Cable: Cable burnt",,Insulation,,2006-11-01,2007-04-20,2007-04-10
WB-09,Powerlift,143.0,547.0,2007-04-19 00:00:00,EDHP,DIFA Internal,Gas Separator/intake,Bearing Bushing,Mechanical Failure,Broken,Fabrication Related,Manufacturing Problem,Possible Root Cause: Bad intake bushing -> Intake bushing broken -> Very high vibration on ESP -> Pothead epoxy broken and leaking -> Water ingressed through pothead area into motor -> Motor leads burned -> EDHP Recommendation: 1. Ensure intake bearing bushing installation properly done in the field or in the warehouse,,,ORANGE,DIFA,,,,,,"DIFA Finding: 1. Pump UT : Shaft rotation free, top-middle-bottom UT washer moderate worn Pump LT : Shaft rotation free, top-middle-bottom UT washer moderate worn, middle-bottom bushing worn, pump stages erroded 2. Gas Separator : Shaft rotation free, top-bottom bushing crack and broken 3. Protector LT: Shaft rotation free, top bag-bottom bag-thrust chamber contains discoloured oil and water, base bushing worn, down thrust bearing & runner worn Protector UT: Shaft rotation free, top bag-bottom bag-thrust chamber contains discoloured oil and water, head & base bushing worn, shaft worn, thrust bearing and runner worn, top & bottom bag air test leaks and punctured and blistered, top mechanical seal air test leaks and runner-seat worn and bellows harden, middle mechanical seal air test leaks and runner-seat worn and bellows harden 4. Motor LT: Shaft rotation free, P-P = 0,53/0,52/0,53 Ohm (good), P-G = 1,04/2,54/1,79 Mohm (failed), discoloured oil and water inside motor, housing corroded, thrust bearing and runner worn, rotor bearing worn, pothead o-ring swollen Motor UT: Shaft rotation hard, P-P = 0,55/0,56/0,55 Ohm (good), P-G = 5,63/2,83/1,11 Mohm (failed), discoloured oil and water inside motor, terminal cavity and terminal block burned, housing blistered paint and air test leaks at pothead position, thrust bearing and runner broken, rotor bearing worn, burned leads, pothead o-ring swollen, rotor worn 5. Sensor: No DIFA data 6. Cable: No DIFA data",,,Bearing Bushing,2006-11-22,2007-04-26,2007-04-13
NE-C6,Reda,20.0,338.0,2007-11-14 00:00:00,MDHP,DIFA Internal,Pump,Shaft,Mechanical Failure,Stuck,Reservoir Related,Reservoir Fluids,Possible root cause: Scale build up on pump stages --> Shaft rotation stuck --> ESP Trip Overload --> MDHP Recommendations: 1. Apply scale inhibitor,SBU,,RED,DIFA,,Stages,,,Scale,"DIFA Findings: 1. Pump UT : Shaft rotation stuck, top-mid bushing worn, DT washer missing, diffuser slight thrust wear, impeller scaled and slight radial wear, housing corroded and slight axial scarred Pump LT : Shaft rotation rough, top-mid bushing uniform worn, Mid-bottom bushing uniform worn, DT washer missing, diffuser slight thrust wear and slight radial wear, impeller scaled 1 mm thick and slight radial wear, housing corroded and slight axial scarred 2. Intake : Shaft loose, Housing corroded/erroded 3. Protector: good condition (from vendor DIFA Report) 4. Motor: Motor ST : P-P reading 0.4 x 3 ohm (balanced), P-G reading 1500 x 3 ohm (balanced) 5. Sensor : Good condition from vendor DIFA Report Round Cable: P-P reading 1000 x 3 ohm (balanced), P-G reading 1000 x 3 ohm (balanced) Flat Cable: P-P reading 2000 x 3 ohm (balanced), P-G reading 2000 x 3 ohm (balanced)",,,,2007-09-25,2008-01-25,2007-10-15
ZC-13,Reda,85.0,440.0,2007-12-02 00:00:00,EDHP,DIFA Internal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Possible Root Cause: Unable to find root cause of ESP failure that related to EDHP. No cable and sensor DIFA Data. Recommendation: 1. Apply Scale Inhibitor 2. Perform a complete a ESP set on every DIFA,CBU,,ORANGE,DIFA,,,,,,"DIFA Finding : 1. Pump UT : Shaft Rotation free, Housing blistered paint, Top-mid-bottom bushing/sleeve uniform worn, Diffusers scaled and slight thrust and radial wear, Impellers scaled and slight radial wear. 2. Protector : Shaft rotation free, Head-Base bushing uniform radial wear, Housing blistered paint, Upthrust-Downthrust bearing severe wear, Top, Lower Bag-Labyrinth,Labyrinth- Thrust Chamber Mechanical Seal Leak, Water in top bag and bottom bag, Dark water in labyrinth and thrust chamber. 3. Intake : No DIFA Data 4. Motor : Shaft rotation free, P-G = 3 x 0.71 (good), P-P= 3x2000 (good), Dark oil inside motor, Head-Base bushing uniform radial wear, Housing blistered paint and scaled on OD, Rotor bearing sleeve discolored, Rotor end rings discolored. 5. Cable and Sensor : No DIFA Data",,,,2007-07-05,2008-01-09,2007-09-28
CG-01,Reda,440.0,1419.0,2007-12-06 00:00:00,MDHP,DIFA Eksternal,Protector,Mechanical Seal,Mechanical Failure,Leaking,Reservoir Related,Reservoir Fluids,Possible Root Cause: Sand produce from reservoir -> Protector mechanical seal failed and leaking -> water ingress to protector and motor -> motor burned -> EDHP Recommendation: 1. Wellbore clean out 2. Use tandem protector for harsh well environment,SBU,,YELLOW,DIFA,,,,,Sand,"DIFA Finding : 1. Pump UT : Shaft rotation stuck, Head-Base corroded, Housing corroded-blistered paint-has hole, Top - mid and Mid - bottom bushing/sleeve uniform worn, DT and UT washer missing, Diffusers corroded, scaled, severe thrust wear, and severe radial wear, Impellers scaled and severe radial and thrust wear, Diffusers severely erroded with holes in outer body. Pump LT : Shaft rotation stuck, Housing corroded-scarred axially-has hole, Top - mid and Bottom - mid bushing/sleeve uniform worn, Diffusers scaled, Impellers scaled. 2. Protector : Shaft rotation free, Head-Base bushing uniform radial wear, Housing blistered paint, Top Mechanical Seal crack and leak, Second Mechanical Seal Leak, Water and sand inside top bag and bottom bag, Dark oil inside labyrinth chamber, and clear oil inside thrust chamber. 3. Intake : No DIFA Data 4. Motor : Shaft rotation free, P-P = 3 x 1.16 ohm (good), P-G= 3 x 0 Mohm (bad), Clear oil and water inside motor, Housing blistered paint, Down Thrust and Thrust runner down thrust moderate wear, Rotor bearing sleeve discolored, All rotor end rings discolored. 5. Sensor and Cable : No DIFA Data",,,,2006-08-15,2007-12-22,2007-10-29
WI-07,Powerlift,266.0,476.0,2007-12-28 00:00:00,EDHP,DIFA Eksternal,Pump,Bearing Bushing,Mechanical Failure,Broken,Reservoir Related,Reservoir Fluids,Possible root cause: Excessive sand produce from reservoir => sand plugged the stages and cause top bushing broken => excessive vibration on ESP and MLE => MLE insulation degraded due to vibration and collision againts ESP housing => MLE burnt => EDHP Recommendation: 1. Apply sand control 2. Use abrasion resistance pump 3. Wellbore clean out,NBU,,ORANGE,DIFA,,Bearing Bushing,,,,"DIFA Finding: 1. Pump ST: Shaft rotation broken, shaft top bushing broken/shaft mid bushing uniform wear, UT and DT washer moderate wear, Impeller and diffuser erroded and plugged 100% by sand 2. Intake: Shaft rotation free, head/base bushing worn 3. Protector UT: Shaft rotation free, clear oil and water inside top bag protector, housing corroded and has MLE imprint due to vibration, top bag punctured, top mechanical seal leaks Protector LT: Shaft rotation free, clear oil inside protector, top bag teared, top mechanical seal leaks 4. 'Motor ST: Shaft rotation free, P-G= 2000 Mohm x 3 (good), P-P= 1.18 ohm x 3 (good), clear oil inside motor, terminal missing, pothead o-ring brittle 5. Sensor: No DIFA data 6. Cable: No DIFA data Note DDR: Found flat cable blown at 2 point, first at intake part, the second one at the middle of protector",,,,2007-12-28,2008-01-11,2007-12-08
WJ-C8,Powerlift,0.0,492.0,2008-04-24 00:00:00,MDHP,DIFA Internal,Pump,Compression Nut,Mechanical Failure,Disconnected (loose),Fabrication Related,Manufacturing Problem,Possible Root Cause: Improper compression nut installation during manufacturing --> Compression nut became loose when ESP running --> the compression tube loosen --> housing guide rotate --> pump loose head --> no fluid pumped to surface --> MDHP Reccomendation: 1. Improve pump manufacturing QAQC during assembly in workshop,NBU,,RED,DIFA,,Compression Nut,,,,"DIFA Finding: 1. Pump ST : Shaft rotation free, housing paint blistered, Loose pump compression tube and rotating guide housing. 2. Intake : Shaft rotation free, housing paint blistered 3. Protector UT : Shaft rotation free, clear inside all chamber, lower thrust bearing worn Protector LT : Shaft rotation free, Clear inside all chamber, overall good condition. 4. Motor UT: Shaft rotation free, Stator P-P reading result: 1.12ohm x3 (good), stator P-G reading result: 2000mohm x3, Dark oil inside motor, pothead o-ring swollen 5. Sensor: No DIFA data 6. Cable: No DIFA data",,,,2008-04-19,,2008-04-19
