well,psd,current_pack,purchase_or_rent,vendor,pump_type,stg,hp,volt,amp,boi_or_gs,agh_or_pg,shroud,protector,sensor,job_type,brg,start_date,dhp_date,declare_date,failure_mode,trl,afe,esp_unit_price,total_esp_price,purchase_price,pulling_date,penetrator,cable,pump,intake,gas_handler,protector,motor,pothead,sensor,pump_head,pump_base,pump_housing,pump_shaft,pump_stages,intake_head,intake_base,intake_shaft,intake_housing,intake_screen,protector_head,protector_base,protector_shaft,protector_housing,protector_seal_chamber,motor_head,motor_base,motor_shaft,motor_housing,motor_reading,pothead,mle,rc,packer,penetrator,tubing,other_pulling_findings,failure_cause,well_review,status,pooh_finding,pump_specification,run,rl_weight,rl_code,daily_charge,area,failure_item,detailed_failure_descriptor,specific_failure_cause,reservoir_fluids,note,lastdhp,lastdhp2,lastdhp3,run1,run2,run3,arl3last,pulling_finding,type_of_work,pulled_out
AA-01,,OLD,,Reda,JN21000,67.0,720.0,,,,,,0,0,,,2002-09-01,2005-09-14,2005-09-14,DHP TL,692.0,Blank 165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,JN21000 67stg 720HP   ,1109.0,4.0,GREEN,,N,,,,,,2005-09-14,,,1109.0,,,1109.0,,,pulled
AA-01,3470.0,OLD,,Reda,JN21000,67.0,720.0,3450.0,124.0,Integral,,,0,0,,,2005-09-29,2006-08-15,2006-08-15,EDHP,585.0,05-IA-0253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,JN21000 67stg 720HP INT  ,320.0,2.0,ORANGE,0.0,N,,,,,,2006-08-15,2005-09-14,,320.0,1109.0,,714.5,,,pulled
AA-01,3463.0,OLD,,Powerlift,QM265,42.0,676.0,3780.0,103.0,Integral,,,0,0,,,2007-01-01,2007-01-19,2007-01-19,MDHP,585.0,06-IA-0243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 42stg 676HP INT  ,18.0,1.0,RED,0.0,N,,,,,,2007-01-19,2006-08-15,2005-09-14,18.0,320.0,1109.0,482.3333333,,,pulled
AA-01,3460.0,OLD,,Powerlift,QM265,45.0,676.0,3780.0,103.0,BOI,,,0,0,,,2007-01-21,2007-02-06,2007-02-06,EDHP,585.0,07-IA-0021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 45stg 676HP BOI  ,16.0,1.0,RED,0.0,N,,,,,,2007-02-06,2007-01-19,2006-08-15,16.0,18.0,320.0,118.0,,,pulled
AA-01,3458.0,OLD,,Reda,JN21000,67.0,720.0,3450.0,124.0,Integral,,,0,0,,,2007-02-28,2008-09-11,2008-09-11,EDHP,585.0,07-IA-0090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,JN21000 67stg 720HP INT  ,561.0,4.0,GREEN,0.0,N,,,,,,2008-09-11,2007-02-06,2007-01-19,561.0,16.0,18.0,198.3333333,,,pulled
AA-01,3470.0,OLD,,Powerlift,QM265,45.0,726.0,3780.0,103.0,BOI,,,0,0,,,2008-10-04,2008-11-12,2010-12-12,EDHP,585.0,08-IA-00325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 45stg 726HP BOI  ,39.0,1.0,RED,0.0,N,,,,,,2008-11-12,2008-09-11,2007-02-06,39.0,561.0,16.0,205.3333333,,,pulled
AA-01,3470.0,OLD,,Powerlift,QM265,43.0,676.0,3780.0,103.0,Integral,,,0,0,,,2008-12-07,2009-09-26,2013-01-10,EDHP,585.0,08-IA-00375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 43stg 676HP INT  ,293.0,2.0,ORANGE,0.0,N,,,,,,2009-09-26,2008-11-12,2008-09-11,293.0,39.0,561.0,297.6666667,,,pulled
AA-01,3470.0,OLD,,Powerlift,QM265,43.0,676.0,3780.0,103.0,Integral,,,0,0,,,2009-10-12,2011-07-28,2014-09-19,EDHP,585.0,09-IA-00337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 43stg 676HP INT  ,654.0,4.0,GREEN,0.0,N,,,,,,2011-07-28,2009-09-26,2008-11-12,654.0,293.0,39.0,328.6666667,"The pump was pulled out due to  tripped off with SCCT, STALL, CUB, overload, underload, undervolt, low supply, lockout indication. Check cable reading from pig tail: P-P: 9.5/ 26.5/ 31 Ohm (unbalance), P-G: 8/ 15/ 7.3 Ohm (unbalance, low reading). A similar size of Powerlift pump was installed.",Pump Repair ,pulled
AA-01,3470.0,OLD,,Powerlift,QM265,43.0,676.0,3780.0,103.0,Integral,,,0,0,,225,2012-04-04,2012-04-17,2012-04-17,,614.0,11-IA-00256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHP,--------------------------,QM265 43stg 676HP INT  ,13.0,1.0,RED,0.0,N,,,,,,2012-04-17,2011-07-28,2009-09-26,13.0,654.0,293.0,320.0,The well tripped off due to power plug  broken off and disconnected from penetrator.  A similiar size of Powerlift pump was installed.,Pump Repair,pulled
AA-01,3470.0,OLD,,Powerlift,QM265,43.0,676.0,3780.0,103.0,,,,0,0,,225,2012-04-25,2012-08-12,2012-08-12,EDHP,614.0,12-IA-00099,,,,,,,,,,X,,,,,,,Pump Shaft Stuck,,,,Intake Shaft Stuck,,,,,Protector Shaft Stuck,,,,,,,Motor Low Reading,,MLE Burn Out,RC Burn Out,,,,Cable blow out at splicing,,,DHP,---Pump Shaft Stuck----Intake Shaft Stuck-----Protector Shaft Stuck-------Motor low reading--MLE Burn out-RC Burn out----Cable blow out at splicing,QM265 43stg 676HP   ,109.0,2.0,ORANGE,0.0,N,,,,,,2012-08-12,2012-04-17,2011-07-28,109.0,13.0,654.0,258.6666667,"The pump was pulled out due to tripped off with overload, current unbalance, SCCT, STALL, undervolt, low supply, lock out indication.  Check cable from pig tail w/ result  P-P : 9.5 ohm, 22.0 ohm, 15.7 ohm. P-G: 16.4 ohm, 29.1 ohm, 22.3 ohm (unbalance, low reading). Confirmed EDHP, RL: 130 days, Found  Motor UT Low Reading and Motor LT burnt out. A similar size  of Powerlift pump was installed.",Pump Repair,pulled
